Spiel #;Liga;m/f;Modus;Gruppe;Rnd.;Datum;Wochentag;Spieltag;Anspielzeit;Heim #;Heim;Gast #;Gast;Halle #;Halle;Hallenort;1. SR;2. SR;1. LR;2. LR
134129;4L;m;Hin-/RÅckrunde;Gruppe A;17;10.03.2018 15:00;Samstag;10.03.2018;15:00;6532;VBC Sursee 4;2957;VBC Malters 3;1495;Kottenmatte;Sursee;;;;
134491;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe B;17;10.03.2018 15:00;Samstag;10.03.2018;15:00;4986;VBC Sursee 3;4028;VBC Malters 2;1495;Kottenmatte;Sursee;;;;
133415;2L;f;Hin-/RÅckrunde;Gruppe A;17;10.03.2018 17:00;Samstag;10.03.2018;17:00;19;VBC Sursee 1;1888;VBC Malters 1;1495;Kottenmatte;Sursee;;;;
134226;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;17;11.03.2018 15:00;Sonntag;11.03.2018;15:00;2544;SV Knutwil-St.Erhard;4027;VBC Malters 1;1572;Turnhalle St. Erhard;St. Erhard;;;;
137600;U23 2L;m;2- und 3fach-Runde;Gruppe B;15;14.03.2018 19:45;Mittwoch;14.03.2018;19:45;6589;SG Obwalden;6588;VBC Malters 2;2046;Vereinshalle;Sarnen;;;;
133992;2L;m;Hin-/RÅckrunde;Gruppe A;18;15.03.2018 20:30;Donnerstag;15.03.2018;20:30;2956;VBC Malters 2;3317;Volley Luzern 3;1961;BÅndtmÑttli;Malters;;;;
137595;U23 2L;m;2- und 3fach-Runde;Gruppe B;14;17.03.2018 11:00;Samstag;17.03.2018;11:00;6588;VBC Malters 2;5987;VBC Buochs;1961;BÅndtmÑttli;Malters;;;;
137512;U23 1L;m;3fach-Runde;Gruppe A;15;17.03.2018 12:00;Samstag;17.03.2018;12:00;5118;VBC Malters 1;5117;Volley Emmen-Nord;1961;BÅndtmÑttli;Malters;;;;
134231;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;18;17.03.2018 15:00;Samstag;17.03.2018;15:00;4027;VBC Malters 1;924;Volley Luzern 1;1961;BÅndtmÑttli;Malters;;;;
133422;2L;f;Hin-/RÅckrunde;Gruppe A;18;17.03.2018 17:00;Samstag;17.03.2018;17:00;1888;VBC Malters 1;585;Hochdorf Audacia 1;1961;BÅndtmÑttli;Malters;;;;
134134;4L;m;Hin-/RÅckrunde;Gruppe A;18;17.03.2018 17:00;Samstag;17.03.2018;17:00;2957;VBC Malters 3;2884;Hochdorf Audacia ;1961;BÅndtmÑttli;Malters;;;;
